Country,Code,Year,GDP,GDP_growth,CPI,CPI_growth,unemployment_rate,annual_tests_per_thousand,cumulative_tests,annual_vaccinations_per_million,avg_workplace_closure,covid_deaths_per_million
Aruba,ABW,2019,3395798882.68156,3.6510315686082415,4.25746204335427,17.413497470512294,NA,NA,NA,NA,NA,NA
Aruba,ABW,2020,2481857122.8401,-26.913895416555057,NA,NA,NA,NA,NA,NA,1.191,454.579182
Aruba,ABW,2021,2929446578.25104,18.03445699157507,NA,NA,NA,NA,7.443,1314129.86643,0.822,1224.580669
Aruba,ABW,2022,3279343543.60416,11.9441319719173,NA,NA,NA,NA,NA,97848.10424,0.907,918.435519
Aruba,ABW,2023,3648573136.15155,11.259253190093908,NA,NA,NA,NA,NA,7096.29997175,NA,111.325515
Africa Eastern and Southern,AFE,2019,1009746517725.42,-0.25137791943645976,4.64496717329564,-1.606454256303652,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,AFE,2020,933407232177.078,-7.560242517132498,5.40516207933395,16.365990924731236,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,AFE,2021,1085604883589.65,16.305600188846448,7.24097765588445,33.9641170718921,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,AFE,2022,1191638638185.25,9.767251068822558,10.7737512242899,48.78862684425641,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,AFE,2023,1133818271029.39,-4.85217290737693,7.12697482131851,-33.848715522125396,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,AFE,2024,1205973813871.44,6.363942501697408,4.42547050381206,-37.90534392552637,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2019,18799444490.1128,4.133454816466057,2.30237251516839,267.7035285003156,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2020,19955929052.1496,6.151695400600963,5.60188791482222,143.30936362018343,11.71,NA,NA,NA,1.549,53.944362176
Afghanistan,AFG,2021,14259995441.0759,-28.542562945522953,5.1332034082496,-8.366545594968299,5.679,NA,NA,115755.505042,1.468,127.332352756
Afghanistan,AFG,2022,14497243872.1337,1.663734270029333,13.7121023720065,167.12563834835964,NA,NA,24.811,191906.779132,1.441,12.149187146
Afghanistan,AFG,2023,17152234636.8715,18.31376217545163,-4.64470870797776,-133.87306032268268,NA,NA,NA,257612.024474,NA,3.05577935
